Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
26/09/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
25/09/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
24/09/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
23/09/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
20/09/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
19/09/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
18/09/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
17/09/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
16/09/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
13/09/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
12/09/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
11/09/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
10/09/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
09/09/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
06/09/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
05/09/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
04/09/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
30/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
29/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
28/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
27/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
26/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
23/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
22/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
21/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
20/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
19/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
16/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
15/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
14/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
13/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
12/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
09/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
08/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
07/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
06/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
05/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
02/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
01/08/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
31/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
30/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
29/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
26/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
25/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
24/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
23/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
22/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
19/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
18/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
17/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
16/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
15/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
12/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
11/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
10/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
09/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
08/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
05/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
04/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
03/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
02/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
01/07/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
28/06/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
27/06/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
26/06/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
25/06/2024,43338000,43338000,400,500,300,-,,17,400,400,400,400,-,400,400,,,-,-,,,,,,,-,,,-,-,
