Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,21599998,21599998,29800,32700,26900,233332,6883,637,30100,29500,30100,29200,900,29499,29500,-300.0,-1.01,1319,1630,121368,197068.0,233332,6883,269,264,5,354700,430400,-75700,-,
26/09/2024,21599998,21599998,29900,32800,27000,236835,7101,644,29900,29800,30600,29700,900,29988,29800,-100.0,-0.33,1335,1378,128865,348865.0,236835,7101,274,425,-151,365700,585700,-220000,-,
25/09/2024,21599998,21599998,30000,33000,27000,257308,7735,646,29700,29900,30500,29700,800,30067,29900,-100.0,-0.33,1362,1415,119892,331392.0,257308,7735,277,416,-139,377200,588700,-211500,-,
24/09/2024,21599998,21599998,29700,32600,26800,202357,6059,648,30000,30000,30200,29600,600,29942,30000,300.0,1.01,1624,1332,208543,250643.0,202357,6059,253,340,-87,410900,453000,-42100,-,
23/09/2024,21599998,21599998,29900,32800,27000,123746,3695,642,31000,29700,32000,29700,2300,29859,29700,-200.0,-0.67,1506,1712,230154,321254.0,123746,3695,235,260,-25,353900,445000,-91100,-,
20/09/2024,21599998,21599998,28300,31100,25500,729576,21454,646,28500,29900,30300,28100,2200,29395,29900,1600.0,5.65,1326,1858,262324,275824.0,729576,21454,748,541,207,991900,1005400,-13500,-,
19/09/2024,21599998,21599998,28200,31000,25400,54808,1547,611,28300,28300,28400,28100,300,28224,28300,100.0,0.35,1060,1210,96792,107392.0,54808,1547,143,134,9,151600,162200,-10600,-,
18/09/2024,21599998,21599998,28000,30800,25200,57030,1609,609,28200,28200,28300,27800,500,28210,28200,200.0,0.71,1265,1214,88470,138470.0,57030,1609,115,161,-46,145500,195500,-50000,-,
17/09/2024,21599998,21599998,27500,30200,24800,92204,2554,605,27700,28000,28100,27200,900,27675,28000,500.0,1.82,1219,1014,146796,55796.0,92204,2554,196,146,50,239000,148000,91000,-,
16/09/2024,21599998,21599998,28100,30900,25300,118331,3279,594,28100,27500,28300,27500,800,27747,27500,-600.0,-2.14,1040,1615,70869,75469.0,118331,3279,182,120,62,189200,193800,-4600,-,
13/09/2024,21599998,21599998,28100,30900,25300,40800,1149,607,28300,28100,28300,27900,400,28176,28100,,,789,1477,56300,124600.0,40800,1149,123,112,11,97100,165400,-68300,-,
12/09/2024,21599998,21599998,28200,31000,25400,43304,1218,607,28300,28100,28500,27800,700,28126,28100,-100.0,-0.35,891,1150,78696,91296.0,43304,1218,137,117,20,122000,134600,-12600,-,
11/09/2024,21599998,21599998,28500,31300,25700,121565,3402,609,28100,28200,28300,27700,600,27988,28200,-300.0,-1.05,903,1705,101535,71135.0,121565,3402,247,113,134,223100,192700,30400,-,
10/09/2024,21599998,21599998,28700,31500,25900,168700,4781,616,28700,28500,29000,28000,1000,28337,28500,-200.0,-0.7,1323,1820,107800,148000.0,168700,4781,209,174,35,276500,316700,-40200,-,
09/09/2024,21599998,21599998,28700,31500,25900,80801,2312,620,28900,28700,29000,28300,700,28608,28700,,,1172,1563,91499,155199.0,80801,2312,147,151,-4,172300,236000,-63700,-,
06/09/2024,21599998,21599998,28500,31300,25700,62500,1779,620,28500,28700,28700,28200,500,28465,28700,200.0,0.7,1432,1272,163800,92700.0,62500,1779,158,122,36,226300,155200,71100,-,
05/09/2024,21599998,21599998,28500,31300,25700,121548,3463,616,28600,28500,28900,28300,600,28490,28500,,,1299,1620,122752,98752.0,121548,3463,188,136,52,244300,220300,24000,-,
04/09/2024,21599998,21599998,29200,32100,26300,148315,4232,616,29100,28500,29200,28000,1200,28539,28500,-700.0,-2.4,1056,1633,156785,101585.0,148315,4232,289,153,136,305100,249900,55200,-,
