Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,8800000,8800000,46500,53400,39600,-,,409,46500,46500,46500,46500,-,46500,46500,,,867,200,2600.0,200.0,,,3.0,1.0,2,2600.0,200.0,2400,-,
26/09/2024,8800000,8800000,46500,53400,39600,-,,409,46500,46500,46500,46500,-,46500,46500,,,700,550,2100.0,1100.0,,,3.0,2.0,1,2100.0,1100.0,1000,-,
25/09/2024,8800000,8800000,46500,53400,39600,-,,409,46500,46500,46500,46500,-,46500,46500,,,650,550,2600.0,1100.0,,,4.0,2.0,2,2600.0,1100.0,1500,-,
24/09/2024,8800000,8800000,46500,53400,39600,-,,409,46500,46500,46500,46500,-,46500,46500,,,700,-,2100.0,,,,3.0,,3,2100.0,,2100,-,
23/09/2024,8800000,8800000,40500,46500,34500,100,5.0,409,46500,46500,46500,46500,-,46500,46500,6000.0,14.81,550,100,3200.0,,100.0,5.0,6.0,1.0,5,3300.0,100.0,3200,-,
20/09/2024,8800000,8800000,46000,52900,39100,100,4.0,356,40500,40500,40500,40500,-,40500,40500,-5500.0,-11.96,533,175,3100.0,600.0,100.0,4.0,6.0,4.0,2,3200.0,700.0,2500,-,
19/09/2024,8800000,8800000,46000,52900,39100,-,,405,46000,46000,46000,46000,-,46000,46000,,,550,550,1100.0,1100.0,,,2.0,2.0,-,1100.0,1100.0,-,-,
18/09/2024,8800000,8800000,40000,46000,34000,300,14.0,405,46000,46000,46000,46000,-,46000,46000,6000.0,15.0,250,300,1200.0,,300.0,14.0,6.0,1.0,5,1500.0,300.0,1200,-,
17/09/2024,8800000,8800000,44600,51200,38000,100,4.0,352,40000,40000,40000,40000,-,40000,40000,-4600.0,-10.31,460,100,2200.0,100.0,100.0,4.0,5.0,2.0,3,2300.0,200.0,2100,-,
16/09/2024,8800000,8800000,44600,51200,38000,-,,392,44600,44600,44600,44600,-,44600,44600,,,1000,100,2000.0,100.0,,,2.0,1.0,1,2000.0,100.0,1900,-,
13/09/2024,8800000,8800000,44600,51200,38000,-,,392,44600,44600,44600,44600,-,44600,44600,,,1000,500,3000.0,1000.0,,,3.0,2.0,1,3000.0,1000.0,2000,-,
12/09/2024,8800000,8800000,44600,51200,38000,-,,392,44600,44600,44600,44600,-,44600,44600,,,1000,200,2000.0,200.0,,,2.0,1.0,1,2000.0,200.0,1800,-,
11/09/2024,8800000,8800000,47300,54300,40300,200,9.0,392,44600,44600,44600,44600,-,44600,44600,-2700.0,-5.71,767,400,2100.0,1800.0,200.0,9.0,3.0,5.0,-2,2300.0,2000.0,300,-,
10/09/2024,8800000,8800000,47300,54300,40300,-,,416,47300,47300,47300,47300,-,47300,47300,,,1000,100,2000.0,100.0,,,2.0,1.0,1,2000.0,100.0,1900,-,
09/09/2024,8800000,8800000,44500,51100,37900,200,9.0,440,44500,50000,50000,44500,5500,47250,50000,5500.0,12.36,700,100,1900.0,100.0,200.0,9.0,3.0,3.0,-,2100.0,300.0,1800,-,
06/09/2024,8800000,8800000,44500,51100,37900,-,,392,44500,44500,44500,44500,-,44500,44500,,,1000,300,2000.0,600.0,,,2.0,2.0,-,2000.0,600.0,1400,-,
05/09/2024,8800000,8800000,44500,51100,37900,200,9.0,392,44500,44500,44500,44500,-,44500,44500,,,1000,180,1800.0,700.0,200.0,9.0,2.0,5.0,-3,2000.0,900.0,1100,-,
04/09/2024,8800000,8800000,47700,54800,40600,100,4.0,392,44500,44500,44500,44500,-,44500,44500,-3200.0,-6.71,700,260,2000.0,1200.0,100.0,4.0,3.0,5.0,-2,2100.0,1300.0,800,-,
30/08/2024,8800000,8800000,44000,50600,37400,501,24.0,392,50000,44500,50000,44000,6000,47680,44500,500.0,1.14,717,200,3799.0,299.0,501.0,24.0,6.0,4.0,2,4300.0,800.0,3500,-,
29/08/2024,8800000,8800000,43500,50000,37000,100,4.0,387,44000,44000,44000,44000,-,44000,44000,500.0,1.15,1033,275,3000.0,1000.0,100.0,4.0,3.0,4.0,-1,3100.0,1100.0,2000,-,
28/08/2024,8800000,8800000,43500,50000,37000,-,,383,43500,43500,43500,43500,-,43500,43500,,,2000,475,4000.0,1900.0,,,2.0,4.0,-2,4000.0,1900.0,2100,-,
27/08/2024,8800000,8800000,43500,50000,37000,-,,383,43500,43500,43500,43500,-,43500,43500,,,2000,533,2000.0,1600.0,,,1.0,3.0,-2,2000.0,1600.0,400,-,
26/08/2024,8800000,8800000,43500,50000,37000,-,,383,43500,43500,43500,43500,-,43500,43500,,,1050,500,2100.0,500.0,,,2.0,1.0,1,2100.0,500.0,1600,-,
23/08/2024,8800000,8800000,43500,50000,37000,-,,383,43500,43500,43500,43500,-,43500,43500,,,-,-,,,,,,,-,,,-,-,
22/08/2024,8800000,8800000,43500,50000,37000,-,,383,43500,43500,43500,43500,-,43500,43500,,,1500,700,3000.0,2100.0,,,2.0,3.0,-1,3000.0,2100.0,900,-,
21/08/2024,8800000,8800000,43500,50000,37000,-,,383,43500,43500,43500,43500,-,43500,43500,,,1267,767,3800.0,2300.0,,,3.0,3.0,-,3800.0,2300.0,1500,-,
20/08/2024,8800000,8800000,46500,53400,39600,500,22.0,383,43500,43500,43500,43500,-,43500,43500,-3000.0,-6.45,3667,340,10500.0,1200.0,500.0,22.0,3.0,5.0,-2,11000.0,1700.0,9300,-,
19/08/2024,8800000,8800000,46500,53400,39600,100,5.0,409,46500,46500,46500,46500,-,46500,46500,,,5050,1817,10000.0,10800.0,100.0,5.0,2.0,6.0,-4,10100.0,10900.0,-800,-,
16/08/2024,8800000,8800000,44400,51000,37800,1400,67.0,418,46900,47500,48000,46900,1100,47729,46300,3100.0,6.98,3900,840,22000.0,7000.0,1400.0,67.0,6.0,10.0,-4,23400.0,8400.0,15000,-,
15/08/2024,8800000,8800000,44400,51000,37800,-,,391,44400,44400,44400,44400,-,44400,43300,,,3000,560,12000.0,2800.0,,,4.0,5.0,-1,12000.0,2800.0,9200,-,
14/08/2024,8800000,8800000,40500,46500,34500,500,22.0,363,46500,41200,46500,41200,5300,44380,40100,700.0,1.73,125,329,500.0,1800.0,500.0,22.0,8.0,7.0,1,1000.0,2300.0,-1300,-,
13/08/2024,8800000,8800000,35300,40500,30100,100,4.0,356,40500,40500,40500,40500,-,40500,39500,5200.0,14.73,200,100,1100.0,,100.0,4.0,6.0,1.0,5,1200.0,100.0,1100,-,
12/08/2024,8800000,8800000,35300,40500,30100,-,,311,35300,35300,35300,35300,-,35300,34400,,,180,-,900.0,,,,5.0,,5,900.0,,900,-,
09/08/2024,8800000,8800000,35300,40500,30100,-,,311,35300,35300,35300,35300,-,35300,34400,,,400,-,2000.0,,,,5.0,,5,2000.0,,2000,-,
08/08/2024,8800000,8800000,35300,40500,30100,-,,311,35300,35300,35300,35300,-,35300,34400,,,180,-,900.0,,,,5.0,,5,900.0,,900,-,
07/08/2024,8800000,8800000,35300,40500,30100,-,,311,35300,35300,35300,35300,-,35300,34400,,,220,-,1100.0,,,,5.0,,5,1100.0,,1100,-,
06/08/2024,8800000,8800000,35300,40500,30100,-,,311,35300,35300,35300,35300,-,35300,34400,,,760,-,3800.0,,,,5.0,,5,3800.0,,3800,-,
05/08/2024,8800000,8800000,41000,47100,34900,200,7.0,308,35500,35000,35500,35000,500,35250,34100,-6000.0,-14.63,467,200,1200.0,,200.0,7.0,3.0,1.0,2,1400.0,200.0,1200,-,
02/08/2024,8800000,8800000,41000,47100,34900,-,,361,41000,41000,41000,41000,-,41000,39900,,,-,-,,,,,,,-,,,-,-,
01/08/2024,8800000,8800000,41000,47100,34900,-,,361,41000,41000,41000,41000,-,41000,39900,,,-,-,,,,,,,-,,,-,-,
31/07/2024,8800000,8800000,41000,47100,34900,-,,361,41000,41000,41000,41000,-,41000,39900,,,-,-,,,,,,,-,,,-,-,
30/07/2024,8800000,8800000,41000,47100,34900,-,,361,41000,41000,41000,41000,-,41000,39900,,,-,-,,,,,,,-,,,-,-,
29/07/2024,8800000,8800000,41000,47100,34900,-,,361,41000,41000,41000,41000,-,41000,39900,,,-,-,,,,,,,-,,,-,-,
26/07/2024,8800000,8800000,35700,41000,30400,1200,44.0,361,41000,41000,41000,41000,-,41000,39900,5300.0,14.85,267,300,1300.0,,300.0,12.0,6.0,1.0,5,1600.0,300.0,1300,900,32.0
25/07/2024,8800000,8800000,35700,41000,30400,-,,314,35700,35700,35700,35700,-,35700,34800,,,200,-,800.0,,,,4.0,,4,800.0,,800,-,
24/07/2024,8800000,8800000,35700,41000,30400,-,,314,35700,35700,35700,35700,-,35700,34800,,,200,-,800.0,,,,4.0,,4,800.0,,800,-,
23/07/2024,8800000,8800000,35700,41000,30400,-,,314,35700,35700,35700,35700,-,35700,34800,,,200,-,800.0,,,,4.0,,4,800.0,,800,-,
22/07/2024,8800000,8800000,35700,41000,30400,-,,314,35700,35700,35700,35700,-,35700,34800,,,200,-,800.0,,,,4.0,,4,800.0,,800,-,
19/07/2024,8800000,8800000,35700,41000,30400,-,,314,35700,35700,35700,35700,-,35700,34800,,,200,-,800.0,,,,4.0,,4,800.0,,800,-,
18/07/2024,8800000,8800000,35700,41000,30400,-,,314,35700,35700,35700,35700,-,35700,34800,,,200,-,800.0,,,,4.0,,4,800.0,,800,-,
17/07/2024,8800000,8800000,38000,53200,22800,300,11.0,312,36000,35500,36000,35500,500,35667,34600,-2500.0,-6.58,386,650,2400.0,1000.0,300.0,11.0,7.0,2.0,5,2700.0,1300.0,1400,-,
16/07/2024,8800000,8800000,38000,53200,22800,-,,334,38000,38000,38000,38000,-,38000,37000,,,400,1000,800.0,1000.0,,,2.0,1.0,1,800.0,1000.0,-200,-,
15/07/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,300,1000,300.0,1000.0,,,1.0,1.0,-,300.0,1000.0,-700,-,
12/07/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,300,-,300.0,,,,1.0,,1,300.0,,300,-,
11/07/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,300,1000,300.0,1000.0,,,1.0,1.0,-,300.0,1000.0,-700,-,
10/07/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,300,700,300.0,2100.0,,,1.0,3.0,-2,300.0,2100.0,-1800,-,
09/07/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,300,1000,300.0,1000.0,,,1.0,1.0,-,300.0,1000.0,-700,-,
08/07/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,150,1000,300.0,1000.0,,,2.0,1.0,1,300.0,1000.0,-700,-,
05/07/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,600,1000,1800.0,1000.0,,,3.0,1.0,2,1800.0,1000.0,800,-,
04/07/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,250,1000,1000.0,1000.0,,,4.0,1.0,3,1000.0,1000.0,-,-,
03/07/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,300,-,300.0,,,,1.0,,1,300.0,,300,-,
02/07/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,300,-,300.0,,,,1.0,,1,300.0,,300,-,
01/07/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,300,-,300.0,,,,1.0,,1,300.0,,300,-,
28/06/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,300,-,300.0,,,,1.0,,1,300.0,,300,-,
27/06/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,300,-,300.0,,,,1.0,,1,300.0,,300,-,
26/06/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,300,-,300.0,,,,1.0,,1,300.0,,300,-,
25/06/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,300,-,300.0,,,,1.0,,1,300.0,,300,-,
24/06/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,150,-,300.0,,,,2.0,,2,300.0,,300,-,
21/06/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,300,-,300.0,,,,1.0,,1,300.0,,300,-,
20/06/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,300,-,300.0,,,,1.0,,1,300.0,,300,-,
19/06/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,300,-,300.0,,,,1.0,,1,300.0,,300,-,
18/06/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,400,-,800.0,,,,2.0,,2,800.0,,800,-,
17/06/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,400,-,800.0,,,,2.0,,2,800.0,,800,-,
14/06/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,650,-,1300.0,,,,2.0,,2,1300.0,,1300,-,
13/06/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,600,-,1800.0,,,,3.0,,3,1800.0,,1800,-,
12/06/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,750,300,1500.0,300.0,,,2.0,1.0,1,1500.0,300.0,1200,-,
11/06/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,767,-,2300.0,,,,3.0,,3,2300.0,,2300,-,
10/06/2024,8800000,8800000,38000,43700,32300,-,,334,38000,38000,38000,38000,-,38000,37000,,,650,-,1300.0,,,,2.0,,2,1300.0,,1300,-,
07/06/2024,8800000,8800000,40000,46000,34000,600,23.0,352,35900,40000,40000,35900,4100,37950,39000,,,300,300,600.0,300.0,600.0,23.0,4.0,3.0,1,1200.0,900.0,300,-,
06/06/2024,8800000,8800000,40000,46000,34000,-,,352,40000,40000,40000,40000,-,40000,39000,,,300,-,300.0,,,,1.0,,1,300.0,,300,-,
05/06/2024,8800000,8800000,40000,46000,34000,-,,352,40000,40000,40000,40000,-,40000,39000,,,300,-,300.0,,,,1.0,,1,300.0,,300,-,
04/06/2024,8800000,8800000,40000,46000,34000,10000,340.0,352,40000,40000,40000,40000,-,40000,39000,,,300,-,300.0,,,,1.0,,1,300.0,,300,10000,340.0
03/06/2024,8800000,8800000,40000,46000,34000,-,,352,40000,40000,40000,40000,-,40000,39000,,,700,-,1400.0,,,,2.0,,2,1400.0,,1400,-,
31/05/2024,8800000,8800000,40000,46000,34000,-,,352,40000,40000,40000,40000,-,40000,39000,,,300,-,300.0,,,,1.0,,1,300.0,,300,-,
30/05/2024,8800000,8800000,40000,46000,34000,-,,352,40000,40000,40000,40000,-,40000,39000,,,700,-,1400.0,,,,2.0,,2,1400.0,,1400,-,
29/05/2024,8800000,8800000,40000,46000,34000,-,,352,40000,40000,40000,40000,-,40000,39000,,,1400,-,2800.0,,,,2.0,,2,2800.0,,2800,-,
28/05/2024,8800000,8800000,40000,46000,34000,-,,352,40000,40000,40000,40000,-,40000,39000,,,300,-,300.0,,,,1.0,,1,300.0,,300,-,
27/05/2024,8800000,8800000,40000,46000,34000,-,,352,40000,40000,40000,40000,-,40000,39000,,,300,-,300.0,,,,1.0,,1,300.0,,300,-,
24/05/2024,8800000,8800000,40000,46000,34000,-,,352,40000,40000,40000,40000,-,40000,39000,,,500,-,1000.0,,,,2.0,,2,1000.0,,1000,-,
23/05/2024,8800000,8800000,40000,46000,34000,1,0.0,352,40000,40000,40000,40000,-,40000,39000,,,1067,-,3199.0,,1.0,0.0,3.0,,3,3200.0,,3200,-,
22/05/2024,8800000,8800000,40000,46000,34000,-,,352,40000,40000,40000,40000,-,40000,39000,,,300,-,300.0,,,,1.0,,1,300.0,,300,-,
21/05/2024,8800000,8800000,40000,46000,34000,-,,352,40000,40000,40000,40000,-,40000,39000,,,700,-,1400.0,,,,2.0,,2,1400.0,,1400,-,
20/05/2024,8800000,8800000,40000,46000,34000,-,,352,40000,40000,40000,40000,-,40000,39000,,,750,-,1500.0,,,,2.0,,2,1500.0,,1500,-,
17/05/2024,8800000,8800000,40000,46000,34000,-,,352,40000,40000,40000,40000,-,40000,39000,,,1950,-,3900.0,,,,2.0,,2,3900.0,,3900,-,
16/05/2024,8800000,8800000,40000,46000,34000,-,,352,40000,40000,40000,40000,-,40000,39000,,,650,-,1300.0,,,,2.0,,2,1300.0,,1300,-,
