Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
26/09/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
25/09/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
24/09/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
23/09/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
20/09/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
19/09/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
18/09/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
17/09/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
16/09/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
13/09/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
12/09/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
11/09/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
10/09/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
09/09/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
06/09/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
05/09/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
04/09/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
30/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
29/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
28/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
27/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
26/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
23/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
22/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
21/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
20/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
19/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
16/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
15/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
14/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
13/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
12/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
09/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
08/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
07/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
06/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
05/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
02/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
01/08/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
31/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
30/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
29/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
26/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
25/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
24/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
23/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
22/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
19/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
18/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
17/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
16/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
15/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
12/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
11/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
10/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
09/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
08/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
05/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
04/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
03/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
02/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
01/07/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
28/06/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
27/06/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
26/06/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
25/06/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
24/06/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
21/06/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
20/06/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
19/06/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
18/06/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
17/06/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
14/06/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
13/06/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
12/06/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
11/06/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
10/06/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
07/06/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
06/06/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
05/06/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
04/06/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
03/06/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
31/05/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
30/05/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
29/05/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
28/05/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
27/05/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
24/05/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
23/05/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
22/05/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
21/05/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
20/05/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
17/05/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
16/05/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
15/05/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
14/05/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
13/05/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
10/05/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
09/05/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
08/05/2024,7872727,7872727,33000,37900,28100,-,,260,33000,33000,33000,33000,-,33000,33000,,,-,-,,,,,,,-,,,-,-,
