Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,4000000000,4000000000,36400,38900,33900,2615100,94552,144000,36650,36000,36650,35900,750,36156,36000,-400.0,-1.1,1582,2698,148300.0,33600.0,2615100,94552,2781.0,2411.0,370,4400800.0,6504500.0,-2103700,-,
26/09/2024,4000000000,4000000000,36000,38500,33500,3546000,129489,145600,36500,36400,36900,36100,800,36517,36400,400.0,1.11,2235,2076,79300.0,118800.0,3546000,129489,2643.0,3860.0,-1217,5906800.0,8013300.0,-2106500,-,
25/09/2024,4000000000,4000000000,36150,38650,33650,3793400,137280,144000,36350,36000,36450,35950,500,36189,36000,-150.0,-0.41,1896,3761,168500.0,94300.0,3793400,137280,3023.0,3004.0,19,5730300.0,11298500.0,-5568200,-,
24/09/2024,4000000000,4000000000,35550,38000,33100,3633500,130854,144600,35400,36150,36300,35400,900,36013,36200,600.0,1.69,2282,2367,130500.0,543200.0,3633500,130854,2979.0,3554.0,-575,6797300.0,8413300.0,-1616000,-,
23/09/2024,4000000000,4000000000,35600,38050,33150,1808400,64080,142200,35600,35550,35700,35300,400,35435,35600,-50.0,-0.14,1362,2948,28600.0,95000.0,1808400,64080,2556.0,1294.0,1262,3481400.0,3815000.0,-333600,-,
20/09/2024,4000000000,4000000000,35700,38150,33250,2374700,85098,142400,36300,35600,36300,35500,800,35835,35600,-100.0,-0.28,1753,1979,98800.0,28900.0,2374700,85098,2195.0,3164.0,-969,3847600.0,6261500.0,-2413900,-,
19/09/2024,4000000000,4000000000,35550,38000,33100,2640000,93732,142800,35700,35700,35800,35200,600,35505,35700,150.0,0.42,1650,2190,67800.0,112100.0,2640000,93732,2799.0,2667.0,132,4617200.0,5839500.0,-1222300,-,
18/09/2024,4000000000,4000000000,35600,38050,33150,3975900,142772,142200,35850,35550,36350,35550,800,35947,35600,-50.0,-0.14,1932,1956,119500.0,41000.0,3875900,139326,3303.0,4273.0,-970,6381800.0,8358400.0,-1976600,100000,3446.0
17/09/2024,4000000000,4000000000,34900,37300,32500,2885400,101678,142400,34900,35600,35600,34750,850,35239,35600,700.0,2.01,2407,1889,156700.0,188700.0,2885400,101678,2515.0,3101.0,-586,6053000.0,5857400.0,195600,-,
16/09/2024,4000000000,4000000000,34600,37000,32200,3406400,118778,139600,34700,34900,35200,34600,600,34878,34900,300.0,0.87,2297,2039,71400.0,201900.0,3306400,115319,2650.0,3194.0,-544,6088000.0,6512700.0,-424700,100000,3459.0
13/09/2024,4000000000,4000000000,34550,36950,32150,844400,29167,138400,34800,34600,34800,34400,400,34542,34600,50.0,0.14,1350,1599,80500.0,99200.0,844400,29167,1363.0,1705.0,-342,1839500.0,2725800.0,-886300,-,
12/09/2024,4000000000,4000000000,34100,36450,31750,2146700,74656,138200,34400,34550,35150,34300,850,34777,34600,450.0,1.32,2337,1632,93600.0,36800.0,2146700,74656,1865.0,3257.0,-1392,4358300.0,5313900.0,-955600,-,
11/09/2024,4000000000,4000000000,34100,36450,31750,1827400,62243,136400,34100,34100,34550,33600,950,34061,34100,,,1555,2130,55000.0,11200.0,1827400,62243,2441.0,1817.0,624,3796000.0,3870300.0,-74300,-,
10/09/2024,4000000000,4000000000,34500,36900,32100,1821700,62467,136400,34600,34100,34850,33900,950,34285,34100,-400.0,-1.16,1782,2065,338900.0,30900.0,1778700,60983,2054.0,1722.0,332,3660500.0,3555200.0,105300,43000,1484.0
09/09/2024,4000000000,4000000000,34500,36900,32100,1066300,36757,138000,34450,34500,34700,34000,700,34472,34500,,,1984,1858,334600.0,61400.0,1066300,36757,1268.0,1382.0,-114,2515400.0,2567800.0,-52400,-,
06/09/2024,4000000000,4000000000,33900,36250,31550,1687800,57581,138000,33700,34500,34600,33650,950,34116,34500,600.0,1.77,1582,1747,49200.0,69700.0,1687800,57581,2581.0,1742.0,839,4083900.0,3043700.0,1040200,-,
05/09/2024,4000000000,4000000000,34700,37100,32300,2268600,77814,135600,34850,33900,34900,33850,1050,34300,33900,-800.0,-2.31,1462,2642,132600.0,11700.0,2268600,77814,2701.0,1519.0,1182,3948400.0,4013600.0,-65200,-,
04/09/2024,4000000000,4000000000,35350,37800,32900,3842300,132293,138800,34800,34700,34950,33400,1550,34431,34700,-650.0,-1.84,1444,3146,7800.0,60400.0,3842300,132293,4982.0,1875.0,3107,7193400.0,5899100.0,1294300,-,
30/08/2024,4000000000,4000000000,35300,37750,32850,1249100,44220,141400,35350,35350,35800,35250,550,35401,35400,50.0,0.14,1588,1476,184800.0,10200.0,1249100,44220,903.0,853.0,50,1433900.0,1259300.0,174600,-,
29/08/2024,4000000000,4000000000,35650,38100,33200,874100,30982,141200,35750,35300,35900,35300,600,35444,35300,-350.0,-0.98,1145,2019,85200.0,40700.0,874100,30982,1509.0,1539.0,-30,1728400.0,3107600.0,-1379200,-,
