Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,50,-,100.0,,,,2.0,,2,100.0,,100,-,
26/09/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,50,-,100.0,,,,2.0,,2,100.0,,100,-,
25/09/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
24/09/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
23/09/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
20/09/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
19/09/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
18/09/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
17/09/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
16/09/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
13/09/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
12/09/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
11/09/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
10/09/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
09/09/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
06/09/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
05/09/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
04/09/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
30/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
29/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
28/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
27/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,10150,-,20300.0,,,,2.0,,2,20300.0,,20300,-,
26/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,10100,-,20200.0,,,,2.0,,2,20200.0,,20200,-,
23/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
22/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
21/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
20/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
19/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
16/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,200,-,200.0,,,,1.0,,1,200.0,,200,-,
15/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,100,-,200.0,,,,2.0,,2,200.0,,200,-,
14/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,200,-,200.0,,,,1.0,,1,200.0,,200,-,
13/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,5050,-,10100.0,,,,2.0,,2,10100.0,,10100,-,
12/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,5050,-,10100.0,,,,2.0,,2,10100.0,,10100,-,
09/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,5050,-,10100.0,,,,2.0,,2,10100.0,,10100,-,
08/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,50,-,100.0,,,,2.0,,2,100.0,,100,-,
07/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,5150,-,10300.0,,,,2.0,,2,10300.0,,10300,-,
06/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
05/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
02/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
01/08/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
31/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
30/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
29/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
26/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
25/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
24/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
23/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
22/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
19/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
18/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
17/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
16/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
15/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
12/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
11/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
10/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
09/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
08/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
05/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
04/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
03/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
02/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
01/07/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
28/06/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
27/06/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
26/06/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
25/06/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
24/06/2024,1215000,1215000,9600,13400,5800,-,,12,9600,9600,9600,9600,-,9600,9600,,,-,-,,,,,,,-,,,-,-,
