Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,85000000,85000000,66200,72800,59600,41100,2703,5585,65800,65700,66200,65300,900,65768,65700,-500.0,-0.76,812,735,11700,13300,41100,2703,65,74,-9,52800,54400,-1600,-,
26/09/2024,85000000,85000000,65900,72400,59400,49200,3249,5627,65900,66200,66200,65700,500,66017,66200,300.0,0.46,733,1018,13800,11900,49200,3249,86,60,26,63000,61100,1900,-,
25/09/2024,85000000,85000000,65700,72200,59200,44000,2897,5602,65800,65900,66000,65700,300,65840,65900,200.0,0.3,710,962,13500,11800,44000,2897,81,58,23,57500,55800,1700,-,
24/09/2024,85000000,85000000,65500,72000,59000,513100,33381,5585,65600,65700,65800,65500,300,65620,65700,200.0,0.31,755,963,14300,11700,46100,3026,80,60,20,60400,57800,2600,467000,30355.0
23/09/2024,85000000,85000000,65500,72000,59000,40800,2673,5568,65400,65500,65700,65400,300,65524,65500,,,725,712,12100,11200,40800,2673,73,73,-,52900,52000,900,-,
20/09/2024,85000000,85000000,65400,71900,58900,42700,2791,5568,65300,65500,65600,65200,400,65344,65500,100.0,0.15,977,567,12000,11200,42700,2791,56,95,-39,54700,53900,800,-,
19/09/2024,85000000,85000000,65700,72200,59200,38900,2544,5559,65500,65400,65700,65300,400,65407,65400,-300.0,-0.46,964,584,12200,12500,38900,2544,53,88,-35,51100,51400,-300,-,
18/09/2024,85000000,85000000,65700,72200,59200,39200,2572,5585,65500,65700,65700,65400,300,65612,65700,,,699,830,13900,13100,39200,2572,76,63,13,53100,52300,800,-,
17/09/2024,85000000,85000000,65400,71900,58900,40300,2645,5585,65500,65700,65700,65500,200,65625,65700,300.0,0.46,696,954,13300,11200,40300,2645,77,54,23,53600,51500,2100,-,
16/09/2024,85000000,85000000,65500,72000,59000,44300,2902,5559,65600,65400,65600,65400,200,65521,65400,-100.0,-0.15,690,756,13000,10100,44300,2902,83,72,11,57300,54400,2900,-,
13/09/2024,85000000,85000000,65500,72000,59000,40000,2621,5568,65400,65500,65600,65300,300,65517,65500,,,721,707,10500,12300,40000,2621,70,74,-4,50500,52300,-1800,-,
12/09/2024,85000000,85000000,65400,71900,58900,42100,2753,5568,65100,65500,65500,65100,400,65391,65500,100.0,0.15,821,701,12900,12600,42100,2753,67,78,-11,55000,54700,300,-,
11/09/2024,85000000,85000000,65400,71900,58900,41100,2687,5559,65500,65400,65500,65200,300,65376,65400,,,719,736,10700,12600,41100,2687,72,73,-1,51800,53700,-1900,-,
10/09/2024,85000000,85000000,65200,71700,58700,44000,2879,5559,65200,65400,65600,65200,400,65444,65400,200.0,0.31,686,930,13600,12700,44000,2879,84,61,23,57600,56700,900,-,
09/09/2024,85000000,85000000,64900,71300,58500,41500,2693,5542,65100,65200,65200,64700,500,64849,65200,300.0,0.46,863,733,13700,9800,41500,2693,64,70,-6,55200,51300,3900,-,
06/09/2024,85000000,85000000,64600,71000,58200,46600,3020,5517,64600,64900,65000,64600,400,64793,64900,300.0,0.46,718,848,13000,9400,46600,3020,83,66,17,59600,56000,3600,-,
05/09/2024,85000000,85000000,64300,70700,57900,49200,3173,5491,64300,64600,64700,64100,600,64469,64600,300.0,0.47,775,740,13600,10700,49200,3173,81,81,-,62800,59900,2900,-,
04/09/2024,85000000,85000000,64600,71000,58200,39900,2570,5466,64500,64300,64500,64200,300,64424,64300,-300.0,-0.46,1048,554,10400,10000,39900,2570,48,90,-42,50300,49900,400,-,
30/08/2024,85000000,85000000,64400,70800,58000,43600,2812,5491,64300,64600,64600,64300,300,64472,64600,200.0,0.31,886,687,13100,10000,43600,2812,64,78,-14,56700,53600,3100,-,
29/08/2024,85000000,85000000,64800,71200,58400,44800,2891,5474,64700,64400,64800,64200,600,64557,64400,-400.0,-0.62,1070,597,11900,12500,44800,2891,53,96,-43,56700,57300,-600,-,
28/08/2024,85000000,85000000,64900,71300,58500,39700,2576,5508,64900,64800,65100,64600,500,64891,64800,-100.0,-0.15,907,638,12900,12600,39700,2576,58,82,-24,52600,52300,300,-,
27/08/2024,85000000,85000000,65200,71700,58700,39700,2578,5517,65300,64900,65300,64700,600,64956,64900,-300.0,-0.46,950,696,13500,16000,39700,2578,56,80,-24,53200,55700,-2500,-,
26/08/2024,85000000,85000000,65100,71600,58600,43100,2807,5542,65100,65200,65300,64900,400,65108,65200,100.0,0.15,773,791,11800,9100,43100,2807,71,66,5,54900,52200,2700,-,
23/08/2024,85000000,85000000,65200,71700,58700,38500,2507,5534,65200,65100,65200,65000,200,65117,65100,-100.0,-0.15,1089,568,11600,9800,38500,2507,46,85,-39,50100,48300,1800,-,
22/08/2024,85000000,85000000,65400,71900,58900,40400,2635,5542,65300,65200,65400,65000,400,65223,65200,-200.0,-0.31,1119,554,13300,10600,40400,2635,48,92,-44,53700,51000,2700,-,
21/08/2024,85000000,85000000,65700,72200,59200,41300,2703,5559,65600,65400,65600,65300,300,65445,65400,-300.0,-0.46,759,760,11100,11900,41300,2703,69,70,-1,52400,53200,-800,-,
20/08/2024,85000000,85000000,65600,72100,59100,44400,2910,5585,65600,65700,65800,65200,600,65516,65700,100.0,0.15,746,846,12300,12300,44400,2910,76,67,9,56700,56700,-,-,
19/08/2024,85000000,85000000,65400,71900,58900,46800,3064,5576,65300,65600,65800,65200,600,65449,65600,200.0,0.31,795,753,12800,11900,46800,3064,75,78,-3,59600,58700,900,-,
16/08/2024,85000000,85000000,65200,71700,58700,45200,2952,5559,65200,65400,65500,65100,400,65300,65400,200.0,0.31,851,642,12700,10000,45200,2952,68,86,-18,57900,55200,2700,-,
15/08/2024,85000000,85000000,65500,72000,59000,40400,2638,5542,65300,65200,65500,65100,400,65314,65200,-300.0,-0.46,1109,574,11700,10700,40400,2638,47,89,-42,52100,51100,1000,-,
14/08/2024,85000000,85000000,65700,72200,59200,40400,2647,5568,65600,65500,65600,65400,200,65512,65500,-200.0,-0.3,1053,681,11200,14100,40400,2647,49,80,-31,51600,54500,-2900,-,
13/08/2024,85000000,85000000,66300,72900,59700,39900,2625,5585,66100,65700,66100,65700,400,65815,65700,-600.0,-0.9,1048,603,10400,13200,39900,2625,48,88,-40,50300,53100,-2800,-,
12/08/2024,85000000,85000000,66000,72600,59400,42800,2835,5636,66100,66300,66500,65900,600,66223,66300,300.0,0.45,704,785,12100,10600,42800,2835,78,68,10,54900,53400,1500,-,
09/08/2024,85000000,85000000,65900,72400,59400,36400,2401,5610,65800,66000,66100,65800,300,65966,66000,100.0,0.15,718,662,12400,17200,36400,2401,68,81,-13,48800,53600,-4800,-,
08/08/2024,85000000,85000000,65800,72300,59300,43200,2848,5602,65700,65900,66000,65700,300,65920,65900,100.0,0.15,804,716,14700,9800,43200,2848,72,74,-2,57900,53000,4900,-,
07/08/2024,85000000,85000000,65200,71700,58700,42400,2787,5593,65400,65800,65900,65400,500,65713,65800,600.0,0.92,499,954,16000,30100,42400,2787,117,76,41,58400,72500,-14100,-,
06/08/2024,85000000,85000000,64700,71100,58300,47700,3108,5542,64900,65200,65300,64800,500,65153,65200,500.0,0.77,696,868,15600,9600,47700,3108,91,66,25,63300,57300,6000,-,
05/08/2024,85000000,85000000,64800,71200,58400,40300,2604,5500,64800,64700,64900,64500,400,64615,64700,-100.0,-0.15,1025,650,12000,10400,40300,2604,51,78,-27,52300,50700,1600,-,
02/08/2024,85000000,85000000,64900,71300,58500,41300,2674,5508,64900,64800,65100,64600,500,64749,64800,-100.0,-0.15,1008,596,12100,9400,41300,2674,53,85,-32,53400,50700,2700,-,
01/08/2024,85000000,85000000,65000,71500,58500,38500,2500,5517,65000,64900,65100,64800,300,64945,64900,-100.0,-0.15,874,757,12200,10700,38500,2500,58,65,-7,50700,49200,1500,-,
31/07/2024,85000000,85000000,64700,71100,58300,41800,2713,5525,64800,65000,65000,64700,300,64897,65000,300.0,0.46,1007,746,12600,11900,41800,2713,54,72,-18,54400,53700,700,-,
30/07/2024,85000000,85000000,64900,71300,58500,42800,2774,5500,65000,64700,65000,64700,300,64840,64700,-200.0,-0.31,1158,667,12800,13200,42800,2774,48,84,-36,55600,56000,-400,-,
29/07/2024,85000000,85000000,64900,71300,58500,46600,3030,5517,64900,64900,65100,64800,300,65029,64900,,,814,895,12000,9800,46600,3030,72,63,9,58600,56400,2200,-,
26/07/2024,85000000,85000000,64600,71000,58200,42500,2758,5517,64700,64900,65000,64700,300,64880,64900,300.0,0.46,978,608,11300,9200,42500,2758,55,85,-30,53800,51700,2100,-,
25/07/2024,85000000,85000000,64900,71300,58500,40500,2620,5491,64800,64600,64900,64500,400,64700,64600,-300.0,-0.46,1106,635,11500,10900,40500,2620,47,81,-34,52000,51400,600,-,
24/07/2024,85000000,85000000,64700,71100,58300,39500,2558,5517,64700,64900,64900,64600,300,64737,64900,200.0,0.31,1088,692,12700,11700,39500,2558,48,74,-26,52200,51200,1000,-,
23/07/2024,85000000,85000000,64800,71200,58400,41700,2704,5500,64900,64700,65000,64700,300,64852,64700,-100.0,-0.15,927,679,13000,14000,41700,2704,59,82,-23,54700,55700,-1000,-,
22/07/2024,85000000,85000000,65000,71500,58500,46200,2999,5508,65100,64800,65200,64700,500,64932,64800,-200.0,-0.31,909,701,12900,9900,46200,2999,65,80,-15,59100,56100,3000,-,
19/07/2024,85000000,85000000,65100,71600,58600,42400,2759,5525,65000,65000,65200,64900,300,65083,65000,-100.0,-0.15,871,825,11600,10400,42400,2759,62,64,-2,54000,52800,1200,-,
18/07/2024,85000000,85000000,65300,71800,58800,40500,2642,5534,65200,65100,65400,65000,400,65253,65100,-200.0,-0.31,904,775,11000,13000,40500,2642,57,69,-12,51500,53500,-2000,-,
17/07/2024,85000000,85000000,65400,71900,58900,44200,2888,5551,65400,65300,65500,65100,400,65344,65300,-100.0,-0.15,993,1106,27300,32100,44200,2888,72,69,3,71500,76300,-4800,-,
16/07/2024,85000000,85000000,65600,72100,59100,48300,3169,5559,65700,65400,65900,65300,600,65636,65400,-200.0,-0.3,959,1121,26500,31300,48300,3169,78,71,7,74800,79600,-4800,-,
15/07/2024,85000000,85000000,65500,72000,59000,45600,2993,5576,65600,65600,65800,65500,300,65652,65600,100.0,0.15,664,948,12200,12200,45600,2993,87,61,26,57800,57800,-,-,
12/07/2024,85000000,85000000,65400,71900,58900,42901,2807,5568,65300,65500,65500,65300,200,65415,65500,100.0,0.15,745,942,11499,10799,42901,2807,73,57,16,54400,53700,700,-,
11/07/2024,85000000,85000000,65300,71800,58800,40600,2656,5559,65200,65400,65600,65200,400,65424,65400,100.0,0.15,731,930,10600,11500,40600,2656,70,56,14,51200,52100,-900,-,
10/07/2024,85000000,85000000,65400,71900,58900,43800,2864,5551,65500,65300,65700,65200,500,65412,65300,-100.0,-0.15,806,877,10200,13200,43800,2864,67,65,2,54000,57000,-3000,-,
09/07/2024,85000000,85000000,65200,71700,58700,46800,3058,5559,65300,65400,65500,65200,300,65340,65400,200.0,0.31,747,1288,10700,29200,46800,3058,77,59,18,57500,76000,-18500,-,
08/07/2024,85000000,85000000,65300,71800,58800,50200,3278,5542,65200,65200,65400,65200,200,65312,65200,-100.0,-0.15,858,813,10700,12400,50200,3278,71,77,-6,60900,62600,-1700,-,
05/07/2024,85000000,85000000,65300,71800,58800,44300,2895,5551,65300,65300,65500,65100,400,65345,65300,,,781,858,11900,11500,44300,2895,72,65,7,56200,55800,400,-,
04/07/2024,85000000,85000000,65600,72100,59100,42800,2807,5551,65600,65300,65800,65300,500,65628,65300,-300.0,-0.46,684,1278,9900,31300,42800,2807,77,58,19,52700,74100,-21400,-,
03/07/2024,85000000,85000000,65600,72100,59100,40300,2643,5576,65500,65600,65700,65400,300,65594,65600,,,674,936,10900,12100,40300,2643,76,56,20,51200,52400,-1200,-,
02/07/2024,85000000,85000000,65300,71800,58800,45800,2998,5576,65300,65600,65600,65300,300,65449,65600,300.0,0.46,778,905,10200,11200,45800,2998,72,63,9,56000,57000,-1000,-,
01/07/2024,85000000,85000000,65100,71600,58600,43000,2808,5551,65200,65300,65400,65200,200,65302,65300,200.0,0.31,746,946,10000,10000,43000,2808,71,56,15,53000,53000,-,-,
28/06/2024,85000000,85000000,65300,71800,58800,40200,2622,5534,65200,65100,65400,65000,400,65249,65100,-200.0,-0.31,751,792,10100,10500,40200,2622,67,64,3,50300,50700,-400,-,
27/06/2024,85000000,85000000,65100,71600,58600,41400,2700,5551,65200,65300,65300,65100,200,65209,65300,200.0,0.31,741,1004,11200,11800,41400,2700,71,53,18,52600,53200,-600,-,
26/06/2024,85000000,85000000,65100,71600,58600,43000,2803,5534,65200,65100,65400,64900,500,65206,65100,,,767,892,13000,12300,43000,2803,73,62,11,56000,55300,700,-,
25/06/2024,85000000,85000000,65200,71700,58700,39700,2589,5534,65300,65100,65400,65100,300,65228,65100,-100.0,-0.15,754,898,10800,10600,39700,2589,67,56,11,50500,50300,200,-,
24/06/2024,85000000,85000000,65600,72100,59100,40600,2652,5542,65500,65200,65600,65100,500,65342,65200,-400.0,-0.61,987,744,10700,12200,40600,2652,52,71,-19,51300,52800,-1500,-,
21/06/2024,85000000,85000000,65300,71800,58800,48700,3192,5576,65200,65600,65700,65200,500,65534,65600,300.0,0.46,719,1007,11700,9700,48700,3192,84,58,26,60400,58400,2000,-,
20/06/2024,85000000,85000000,65300,71800,58800,41800,2724,5551,65000,65300,65300,65000,300,65147,65300,,,825,812,10200,11800,41800,2724,63,66,-3,52000,53600,-1600,-,
19/06/2024,85000000,85000000,65600,72100,59100,45000,2948,5551,65400,65300,65700,65300,400,65524,65300,-300.0,-0.46,848,765,10100,11600,45000,2948,65,74,-9,55100,56600,-1500,-,
18/06/2024,85000000,85000000,65700,72200,59200,40200,2642,5576,65600,65600,65900,65500,400,65733,65600,-100.0,-0.15,814,838,11900,13400,40200,2642,64,64,-,52100,53600,-1500,-,
17/06/2024,85000000,85000000,66100,72700,59500,43000,2828,5585,66000,65700,66000,65700,300,65779,65700,-400.0,-0.61,846,860,8600,12900,43000,2828,61,65,-4,51600,55900,-4300,-,
14/06/2024,85000000,85000000,66100,72700,59500,42600,2812,5619,65800,66100,66100,65800,300,65985,66100,,,752,1331,9300,30600,42600,2812,69,55,14,51900,73200,-21300,-,
13/06/2024,85000000,85000000,65800,72300,59300,45300,2994,5619,66000,66100,66200,66000,200,66088,66100,300.0,0.46,744,1245,12000,29400,45300,2994,77,60,17,57300,74700,-17400,-,
12/06/2024,85000000,85000000,65600,72100,59100,45400,2986,5593,65800,65800,65900,65600,300,65764,65800,200.0,0.3,736,1018,11300,12600,45400,2986,77,57,20,56700,58000,-1300,-,
11/06/2024,85000000,85000000,66100,72700,59500,39600,2602,5576,65900,65600,65900,65600,300,65730,65600,-500.0,-0.76,858,761,11000,12900,39600,2602,59,69,-10,50600,52500,-1900,-,
10/06/2024,85000000,85000000,65700,72200,59200,45600,3003,5619,65600,66100,66100,65600,500,65832,66100,400.0,0.61,718,817,14000,11600,45600,3003,83,70,13,59600,57200,2400,-,
07/06/2024,85000000,85000000,65400,71900,58900,45000,2953,5585,65400,65700,65800,65400,400,65620,65700,300.0,0.46,709,1200,11000,30600,45000,2953,79,63,16,56000,75600,-19600,-,
06/06/2024,85000000,85000000,65400,71900,58900,40500,2649,5559,65300,65400,65500,65300,200,65417,65400,,,747,1212,10300,31000,40500,2649,68,59,9,50800,71500,-20700,-,
05/06/2024,85000000,85000000,65600,72100,59100,43700,2862,5559,65600,65400,65600,65400,200,65512,65400,-200.0,-0.3,752,909,11200,14500,43700,2862,73,64,9,54900,58200,-3300,-,
04/06/2024,85000000,85000000,65500,72000,59000,47000,3079,5576,65400,65600,65700,65300,400,65503,65600,100.0,0.15,705,997,11500,12800,47000,3079,83,60,23,58500,59800,-1300,-,
03/06/2024,85000000,85000000,65200,71700,58700,44800,2932,5568,65200,65500,65600,65200,400,65429,65500,300.0,0.46,632,786,10200,11800,44800,2932,87,72,15,55000,56600,-1600,-,
31/05/2024,85000000,85000000,65000,71500,58500,43600,2843,5542,65100,65200,65400,65000,400,65201,65200,200.0,0.31,762,1027,10500,21100,43600,2843,71,63,8,54100,64700,-10600,-,
30/05/2024,85000000,85000000,65000,71500,58500,44100,2868,5525,65200,65000,65200,64900,300,65035,65000,,,910,688,8700,15100,44100,2868,58,86,-28,52800,59200,-6400,-,
29/05/2024,85000000,85000000,65500,72000,59000,47200,3080,5525,65300,65000,65400,65000,400,65281,65000,-500.0,-0.76,762,762,9200,14500,47200,3080,74,81,-7,56400,61700,-5300,-,
28/05/2024,85000000,85000000,65300,71800,58800,42700,2792,5568,65200,65500,65500,65200,300,65374,65500,200.0,0.31,705,747,10900,13300,42700,2792,76,75,1,53600,56000,-2400,-,
27/05/2024,85000000,85000000,65300,71800,58800,41900,2739,5551,65300,65300,65600,65200,400,65371,65300,,,782,803,10500,12700,41900,2739,67,68,-1,52400,54600,-2200,-,
24/05/2024,85000000,85000000,65400,71900,58900,44400,2913,5551,65700,65300,65800,65300,500,65645,65300,-100.0,-0.15,735,820,10700,12200,44400,2913,75,69,6,55100,56600,-1500,-,
23/05/2024,85000000,85000000,65000,71500,58500,45100,2942,5559,65000,65400,65400,65000,400,65216,65400,400.0,0.62,706,891,10700,12800,45100,2942,79,65,14,55800,57900,-2100,-,
22/05/2024,85000000,85000000,64900,71300,58500,48800,3165,5525,64800,65000,65100,64400,700,64838,65000,100.0,0.15,868,700,11100,13500,48800,3165,69,89,-20,59900,62300,-2400,-,
21/05/2024,85000000,85000000,65000,71500,58500,44500,2883,5517,64900,64900,64900,64600,300,64766,64900,-100.0,-0.15,880,645,12700,17400,44500,2883,65,96,-31,57200,61900,-4700,-,
20/05/2024,85000000,85000000,64900,71300,58500,43672,2836,5525,65000,65000,65200,64800,400,64930,65000,100.0,0.15,788,614,6728,14628,43672,2836,64,95,-31,50400,58300,-7900,-,
17/05/2024,85000000,85000000,65200,71700,58700,43600,2831,5517,65200,64900,65200,64900,300,64922,64900,-300.0,-0.46,972,647,12800,16600,43600,2831,58,93,-35,56400,60200,-3800,-,
16/05/2024,85000000,85000000,65200,71700,58700,47800,3116,5542,65200,65200,65300,65100,200,65184,65200,,,863,746,12600,17100,47800,3116,70,87,-17,60400,64900,-4500,-,
15/05/2024,85000000,85000000,65300,71800,58800,47800,3111,5542,65100,65200,65200,64900,300,65072,65200,-100.0,-0.15,876,798,13500,17600,47800,3111,70,82,-12,61300,65400,-4100,-,
14/05/2024,85000000,85000000,65000,71500,58500,46800,3047,5551,65000,65300,65400,64800,600,65077,65300,300.0,0.46,816,780,9500,16400,46800,3047,69,81,-12,56300,63200,-6900,-,
13/05/2024,85000000,85000000,65300,71800,58800,43900,2856,5525,65100,65000,65200,64900,300,65057,65000,-300.0,-0.46,919,736,13100,17200,43900,2856,62,83,-21,57000,61100,-4100,-,
10/05/2024,85000000,85000000,65800,72300,59300,43400,2839,5551,65600,65300,65700,65300,400,65431,65300,-500.0,-0.76,923,681,12900,17900,43400,2839,61,90,-29,56300,61300,-5000,-,
09/05/2024,85000000,85000000,66300,72900,59700,48400,3201,5593,66100,65800,66300,65800,500,66176,65800,-500.0,-0.75,955,717,10800,18300,48400,3201,62,93,-31,59200,66700,-7500,-,
08/05/2024,85000000,85000000,66800,73400,60200,411209,26971,5636,66700,66300,66700,66200,500,66289,66300,-500.0,-0.75,888,829,14191,19291,46209,3063,68,79,-11,60400,65500,-5100,365000,23908.0
07/05/2024,85000000,85000000,67100,73800,60400,44800,2987,5678,67000,66800,67100,66500,600,66666,66800,-300.0,-0.45,769,764,14400,17100,44800,2987,77,81,-4,59200,61900,-2700,-,
06/05/2024,85000000,85000000,66800,73400,60200,49501,3324,5704,67000,67100,67300,67000,300,67168,67100,300.0,0.45,744,1022,13699,15899,49501,3324,85,64,21,63200,65400,-2200,-,
03/05/2024,85000000,85000000,66500,73100,59900,448709,29730,5678,66400,66800,67000,66400,600,66713,66800,300.0,0.45,708,853,16391,13591,48709,3250,92,73,19,65100,62300,2800,400000,26480.0
02/05/2024,85000000,85000000,66800,73400,60200,46801,3116,5653,66600,66500,66800,66300,500,66586,66500,-300.0,-0.45,961,681,11799,17199,46801,3116,61,94,-33,58600,64000,-5400,-,
26/04/2024,85000000,85000000,67100,73800,60400,46500,3115,5678,67000,66800,67100,66600,500,67007,66800,-300.0,-0.45,714,833,13500,13500,46500,3115,84,72,12,60000,60000,-,-,
25/04/2024,85000000,85000000,66500,73100,59900,429900,28270,5704,66600,67100,67100,66600,500,66970,67100,600.0,0.9,791,940,22100,14000,49900,3342,91,68,23,72000,63900,8100,380000,24928.0
24/04/2024,85000000,85000000,66700,73300,60100,47600,3167,5653,66400,66500,66700,66400,300,66539,66500,-200.0,-0.3,781,881,15700,17600,47600,3167,81,74,7,63300,65200,-1900,-,
