Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,75049936,75049936,27500,31600,23400,1135,31.0,2064,27500,27500,27500,27500,-,27500,27500,,,1100,1200,16465.0,19265.0,1135.0,31.0,16.0,17.0,-1,17600.0,20400.0,-2800,-,
26/09/2024,75049936,75049936,27600,31700,23500,1002,28.0,2064,27500,27500,27500,27500,-,27500,27500,-100.0,-0.36,1147,1164,16198.0,15298.0,1002.0,28.0,15.0,14.0,1,17200.0,16300.0,900,-,
25/09/2024,75049936,75049936,27600,31700,23500,2001,55.0,2064,27600,27500,27600,27500,100,27555,27500,-100.0,-0.36,982,1306,14699.0,21499.0,2001.0,55.0,17.0,18.0,-1,16700.0,23500.0,-6800,-,
24/09/2024,75049936,75049936,27600,31700,23500,1104,30.0,2071,27600,27600,27600,27600,-,27600,27600,,,888,1427,13096.0,14596.0,1104.0,30.0,16.0,11.0,5,14200.0,15700.0,-1500,-,
23/09/2024,75049936,75049936,27400,31500,23300,4113,114.0,2079,27400,27700,27700,27400,300,27627,27700,300.0,1.09,1113,1314,12587.0,14287.0,4113.0,114.0,15.0,14.0,1,16700.0,18400.0,-1700,-,
20/09/2024,75049936,75049936,27400,31500,23300,1120,31.0,2056,27400,27400,27400,27400,-,27400,27400,,,1078,1446,18280.0,17680.0,1120.0,31.0,18.0,13.0,5,19400.0,18800.0,600,-,
19/09/2024,75049936,75049936,27500,31600,23400,4200,115.0,2056,27400,27400,27400,27400,-,27400,27400,-100.0,-0.36,1050,1280,6300.0,15000.0,4200.0,115.0,10.0,15.0,-5,10500.0,19200.0,-8700,-,
18/09/2024,75049936,75049936,27500,31600,23400,601,17.0,2064,27500,27500,27500,27500,-,27500,27500,,,656,1362,11199.0,17099.0,601.0,17.0,18.0,13.0,5,11800.0,17700.0,-5900,-,
17/09/2024,75049936,75049936,27500,31600,23400,700,19.0,2064,27500,27500,27500,27500,-,27500,27500,,,829,1353,13400.0,19600.0,700.0,19.0,17.0,15.0,2,14100.0,20300.0,-6200,-,
16/09/2024,75049936,75049936,27500,31600,23400,1100,30.0,2064,27500,27500,27500,27500,-,27500,27500,,,1127,1538,15800.0,18900.0,1100.0,30.0,15.0,13.0,2,16900.0,20000.0,-3100,-,
13/09/2024,75049936,75049936,27600,31700,23500,800,22.0,2064,27500,27500,27500,27500,-,27500,27500,-100.0,-0.36,800,1331,16000.0,16500.0,800.0,22.0,21.0,13.0,8,16800.0,17300.0,-500,-,
12/09/2024,75049936,75049936,27900,32000,23800,1261,35.0,2064,27800,27500,27800,27500,300,27625,27500,-400.0,-1.43,589,1328,9339.0,22639.0,1261.0,35.0,18.0,18.0,-,10600.0,23900.0,-13300,-,
11/09/2024,75049936,75049936,27800,31900,23700,3103,87.0,2086,28000,27800,28000,27800,200,27897,27800,,,828,1192,11797.0,12397.0,3103.0,87.0,18.0,13.0,5,14900.0,15500.0,-600,-,
10/09/2024,75049936,75049936,27800,31900,23700,2700,75.0,2086,27800,27800,27800,27800,-,27800,27800,,,575,1135,8800.0,16600.0,2700.0,75.0,20.0,17.0,3,11500.0,19300.0,-7800,-,
09/09/2024,75049936,75049936,27800,31900,23700,506,14.0,2086,27800,27800,27800,27800,-,27800,27800,,,490,936,9294.0,9794.0,506.0,14.0,20.0,11.0,9,9800.0,10300.0,-500,-,
06/09/2024,75049936,75049936,27800,31900,23700,1800,50.0,2094,27800,27900,27900,27800,100,27839,27900,100.0,0.36,544,1430,8000.0,12500.0,1800.0,50.0,18.0,10.0,8,9800.0,14300.0,-4500,-,
05/09/2024,75049936,75049936,27800,31900,23700,1400,39.0,2086,27800,27800,27800,27800,-,27800,27800,,,763,1155,10800.0,11300.0,1400.0,39.0,16.0,11.0,5,12200.0,12700.0,-500,-,
04/09/2024,75049936,75049936,27800,31900,23700,1100,31.0,2086,27800,27800,27800,27800,-,27800,27800,,,461,738,7200.0,8500.0,1100.0,31.0,18.0,13.0,5,8300.0,9600.0,-1300,-,
30/08/2024,75049936,75049936,27800,31900,23700,600,17.0,2086,27800,27800,27800,27800,-,27800,27800,,,782,569,12700.0,8500.0,600.0,17.0,17.0,16.0,1,13300.0,9100.0,4200,-,
29/08/2024,75049936,75049936,27700,31800,23600,4606,128.0,2079,27700,27700,27800,27700,100,27785,27700,,,815,1021,11694.0,9694.0,4606.0,128.0,20.0,14.0,6,16300.0,14300.0,2000,-,
28/08/2024,75049936,75049936,27800,31900,23700,5500,152.0,2079,27800,27700,27800,27700,100,27711,27700,-100.0,-0.36,890,1307,13200.0,12800.0,5500.0,152.0,21.0,14.0,7,18700.0,18300.0,400,-,
27/08/2024,75049936,75049936,27700,31800,23600,10300,286.0,2079,27700,27700,27900,27700,200,27789,27700,,,955,1695,8800.0,23600.0,10300.0,286.0,20.0,20.0,-,19100.0,33900.0,-14800,-,
26/08/2024,75049936,75049936,27900,32000,23800,2100,58.0,2079,27700,27700,27700,27700,-,27700,27700,-200.0,-0.72,640,793,4300.0,9800.0,2100.0,58.0,10.0,15.0,-5,6400.0,11900.0,-5500,-,
23/08/2024,75049936,75049936,27800,31900,23700,2900,81.0,2086,27900,27800,27900,27800,100,27866,27800,,,668,806,9800.0,11600.0,2900.0,81.0,19.0,18.0,1,12700.0,14500.0,-1800,-,
